location,type,minF,maxF,duration,bandwidth,Fi,Ff
mexico,5,9916.90,22323.00,0.62,12406266.00,22323.00,9917.00
mexico,2,10954.00,17604.00,0.44,6649808.00,17604.00,10954.00
mexico,2,11701.00,19336.00,0.60,7634678.00,19336.00,11701.00
mexico,5,7335.00,19004.00,0.78,11668748.00,19004.00,7335.00
mexico,5,7837.00,17959.00,0.57,10122500.00,17959.00,7837.00
mexico,5,12616.00,18736.00,0.50,6119363.00,18736.00,12616.00
mexico,5,11267.00,19882.00,0.59,8615196.00,19882.00,11267.00
mexico,5,8391.00,18838.00,0.82,10446542.00,18838.00,8391.00
mexico,5,16196.00,20655.00,0.44,4459658.00,16196.00,20655.00
mexico,5,7001.00,21653.00,0.83,14652079.00,21653.00,7001.00
mexico,5,6476.00,23386.00,0.97,16910285.00,23386.00,6476.00
mexico,5,11990.00,21600.00,0.79,9610504.00,21600.00,11990.00
mexico,5,7053.00,20392.00,1.14,13339168.00,17451.00,7053.00
mexico,5,12792.00,21233.00,0.66,8440470.00,18601.00,14846.00
mexico,5,6220.00,18543.00,0.78,12322738.00,18543.00,6220.00
mexico,5,6003.00,18543.00,0.88,12539900.00,18543.00,6003.00
mexico,5,10797.00,18778.00,0.53,7980440.00,18778.00,11971.00
mexico,3,16782.00,20304.00,0.41,3521343.00,18484.00,16782.00
mexico,2,15491.00,18886.00,0.22,3394352.00,18886.00,15491.00
mexico,5,11166.00,14142.00,0.28,2975926.00,13320.00,11166.00
mexico,4,15139.00,19482.00,0.27,4342299.00,19482.00,16489.00
mexico,4,16050.00,19599.00,0.36,3549113.00,19726.00,17252.00
mexico,5,12216.00,18518.00,0.77,6301970.00,18518.00,12216.00
mexico,5,5704.00,21564.00,1.03,15859956.00,19482.00,5704.00
mexico,5,9433.00,23035.00,0.93,13601751.00,23035.00,15525.00
mexico,5,11325.00,18895.00,1.86,7569683.00,16665.00,14553.00
mexico,5,11271.00,19071.00,1.37,7799989.00,18308.00,12899.00
mexico,2,14963.00,16900.00,0.17,1936431.00,16900.00,14963.00
mexico,5,11113.00,19364.00,1.39,8250936.00,17663.00,11971.00
mexico,5,6631.00,18466.00,1.31,11834857.00,9623.00,12029.00
mexico,1,12792.00,14377.00,0.15,1584352.00,12792.00,14377.00
mexico,2,15257.00,19012.00,0.31,3755501.00,19012.00,15257.00
mexico,2,14963.00,19188.00,0.36,4224939.00,19188.00,14963.00
mexico,1,12156.00,20468.00,0.37,8311688.00,12156.00,20468.00
mexico,2,5818.00,14753.00,0.24,8935065.00,14753.00,5818.00
mexico,2,6026.00,13247.00,0.35,7220779.00,13247.00,6026.00
mexico,3,10219.00,12852.00,0.25,2632258.00,11097.00,10219.00
mexico,3,9858.00,12645.00,0.25,2787096.00,11045.00,9858.00
mexico,3,9600.00,12490.00,0.28,2890323.00,11045.00,9600.00
mexico,3,9910.00,12232.00,0.24,2322581.00,11097.00,9910.00
mexico,3,9290.00,12439.00,0.26,3148387.00,11045.00,9290.00
mexico,3,9239.00,12490.00,0.32,3251613.00,10890.00,9239.00
mexico,3,8310.00,12852.00,0.32,4541936.00,8310.00,9032.00
mexico,3,8568.00,12439.00,0.32,3870968.00,8568.00,9290.00
mexico,3,8671.00,12490.00,0.32,3819355.00,8671.00,9342.00
mexico,3,8671.00,12800.00,0.30,4129032.00,8671.00,9910.00
mexico,3,9351.00,13143.00,0.31,3792208.00,9351.00,9351.00
mexico,3,9135.00,12852.00,0.34,3716129.00,9135.00,9497.00
mexico,3,15639.00,18477.00,0.28,2838709.00,17032.00,15639.00
mexico,3,8657.00,11870.00,0.48,3213823.00,10626.00,8657.00
mexico,3,6065.00,11404.00,0.74,5339093.00,9019.00,6065.00
mexico,3,11300.00,20942.00,0.73,9641469.00,12078.00,11300.00
mexico,3,2436.00,4406.00,0.36,1969763.00,2436.00,3006.00
mexico,3,6531.00,19853.00,0.60,13321815.00,15551.00,6531.00
mexico,3,10419.00,22030.00,0.62,11611232.00,18972.00,10419.00
mexico,3,10730.00,20786.00,0.49,10056155.00,16380.00,10730.00
mexico,3,13922.00,20000.00,0.42,6077922.00,13922.00,18182.00
mexico,3,6909.00,20571.00,0.55,13662338.00,14597.00,6909.00
mexico,3,13455.00,20727.00,0.44,7272728.00,13455.00,19065.00
mexico,3,12052.00,20468.00,0.48,8415584.00,12052.00,19117.00
mexico,3,6390.00,20519.00,0.75,14129871.00,11740.00,6390.00
mexico,3,3325.00,5143.00,0.35,1818182.00,3948.00,3325.00
mexico,3,8104.00,13870.00,0.53,5766234.00,8883.00,8104.00
mexico,3,7481.00,13714.00,0.53,6233767.00,7481.00,9714.00
mexico,3,13403.00,15325.00,0.22,1922078.00,13403.00,13403.00
